Date,Home,Home_Score,Away,Away_Score,Game_ID,Box_ID,isNeutral,Detail
11/05/2019,Duke,68,Kansas,66,4874703,1797224,TRUE,NA
11/08/2019,Duke,89,Colorado St.,55,4868999,1797500,FALSE,NA
11/12/2019,Duke,105,Central Ark.,54,4893332,1798145,FALSE,NA
11/15/2019,Duke,74,Georgia St.,63,4875160,1798533,FALSE,NA
11/21/2019,Duke,87,California,52,4880308,1799501,TRUE,NA
11/22/2019,Duke,81,Georgetown,73,4880860,1815254,TRUE,NA
11/26/2019,Duke,83,SFA,85,4883937,1800515,FALSE,1 OT
11/29/2019,Duke,83,Winthrop,70,4884796,1800695,FALSE,NA
12/03/2019,Michigan St.,75,Duke,87,4886884,1801210,FALSE,NA
12/06/2019,Virginia Tech,63,Duke,77,4888181,1801536,FALSE,NA
12/19/2019,Duke,86,Wofford,57,4893549,1803001,FALSE,NA
12/28/2019,Duke,75,Brown,50,4894910,1803477,FALSE,NA
12/31/2019,Duke,88,Boston College,49,4895915,1803877,FALSE,NA
01/04/2020,Miami (FL),62,Duke,95,4897687,1804180,FALSE,NA
01/08/2020,Georgia Tech,64,Duke,73,4901682,1804983,FALSE,NA
01/11/2020,Duke,90,Wake Forest,59,4901183,1805674,FALSE,NA
01/14/2020,Clemson,79,Duke,72,4902018,1805755,FALSE,NA
01/18/2020,Duke,73,Louisville,79,4905402,1806684,FALSE,NA
01/21/2020,Duke,89,Miami (FL),59,4906431,1806890,FALSE,NA
01/28/2020,Duke,79,Pittsburgh,67,4911419,1807919,FALSE,NA
02/01/2020,Syracuse,88,Duke,97,4915798,1808360,FALSE,NA
02/04/2020,Boston College,55,Duke,63,4917150,1808914,FALSE,NA
02/08/2020,North Carolina,96,Duke,98,4920581,1809789,FALSE,1 OT
02/10/2020,Duke,70,Florida St.,65,4923055,1809901,FALSE,NA
02/15/2020,Duke,94,Notre Dame,60,4927983,1810785,FALSE,NA
02/19/2020,NC State,88,Duke,66,4933545,1811242,FALSE,NA
02/22/2020,Duke,88,Virginia Tech,64,4936483,1811777,FALSE,NA
02/25/2020,Wake Forest,113,Duke,101,4939549,1811945,FALSE,2 OT
02/29/2020,Virginia,52,Duke,50,4944310,1812225,FALSE,NA
03/02/2020,Duke,88,NC State,69,4947324,1812467,FALSE,NA
03/07/2020,Duke,89,North Carolina,76,4953041,1812644,FALSE,NA
03/12/2020,Duke,Canceled,#5 NC State,NA,NA,NA,TRUE,NA
