Date,Home,Home_Score,Away,Away_Score,Game_ID,Box_ID,isNeutral,Detail
11/28/2020,Duke,81,Coppin St.,71,4982542,1987233,FALSE,NA
12/01/2020,Duke,69,Michigan St.,75,4983209,1987234,FALSE,NA
12/04/2020,Duke,76,Bellarmine,54,4983620,1982971,FALSE,NA
12/06/2020,Duke,NA,Elon,NA,NA,NA,FALSE,Canceled
12/08/2020,Duke,68,Illinois,83,4984406,1987614,FALSE,NA
12/12/2020,Duke,NA,Charleston So.,NA,NA,NA,FALSE,Canceled
12/16/2020,Notre Dame,65,Duke,75,4986643,1987619,FALSE,NA
12/19/2020,Duke,NA,Gardner-Webb,NA,NA,NA,FALSE,Canceled
12/29/2020,Duke,NA,Pittsburgh,NA,NA,NA,FALSE,Ppd
01/02/2021 08:00 PM,Florida St.,NA,Duke,NA,NA,NA,FALSE,Ppd
01/06/2021,Duke,83,Boston College,82,4988899,1987627,FALSE,NA
01/09/2021,Duke,79,Wake Forest,68,4988425,1987626,FALSE,NA
01/12/2021,Virginia Tech,74,Duke,67,4989270,1987628,FALSE,NA
01/19/2021,Pittsburgh,79,Duke,73,4990979,1987629,FALSE,NA
01/23/2021,Louisville,70,Duke,65,4991788,1987630,FALSE,NA
01/26/2021,Duke,75,Georgia Tech,68,4992987,1987623,FALSE,NA
01/30/2021,Duke,79,Clemson,53,4993766,1987631,FALSE,NA
02/01/2021,Miami (FL),77,Duke,75,4994764,1987572,FALSE,NA
02/06/2021,Duke,87,North Carolina,91,4996842,1987632,FALSE,NA
02/09/2021,Duke,89,Notre Dame,93,4997851,1987633,FALSE,NA
02/13/2021,NC State,53,Duke,69,5000358,1987634,FALSE,NA
02/17/2021,Wake Forest,60,Duke,84,5001881,1987635,FALSE,NA
02/20/2021,Duke,66,Virginia,65,5004073,1987609,FALSE,NA
02/22/2021,Duke,85,Syracuse,71,5005853,1987636,FALSE,NA
02/27/2021 TBA,Duke,NA,Louisville,NA,NA,NA,FALSE,NA
03/02/2021 07:00 PM,Georgia Tech,NA,Duke,NA,NA,NA,FALSE,NA
03/06/2021 06:00 PM,North Carolina,NA,Duke,NA,NA,NA,FALSE,NA
